timestamp,ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,ai_probability_yes,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,edge,decision,resolved_outcome,pnl_percent
2026-03-19 01:10:16,KXHIGHLAX-26MAR12-B87.5,"Will the **high temp in LA** be 87-88° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,87.0,88.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:17,KXHIGHLAX-26MAR12-B85.5,"Will the **high temp in LA** be 85-86° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,85.0,86.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:17,KXHIGHLAX-26MAR11-T77,"Will the **high temp in LA** be >77° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",greater_than,77.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:18,KXHIGHLAX-26MAR11-T70,"Will the **high temp in LA** be <70° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",less_than,,70.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:18,KXHIGHLAX-26MAR11-B76.5,"Will the **high temp in LA** be 76-77° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",between,76.0,77.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:19,KXHIGHLAX-26MAR11-B74.5,"Will the **high temp in LA** be 74-75° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",between,74.0,75.0,,,,100.0,0.0,100.0,0.0,2.0,,,NO,
2026-03-19 01:10:19,KXHIGHLAX-26MAR11-B72.5,"Will the **high temp in LA** be 72-73° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",between,72.0,73.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:19,KXHIGHLAX-26MAR11-B70.5,"Will the **high temp in LA** be 70-71° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",between,70.0,71.0,,,,100.0,0.0,100.0,0.0,2.0,,,NO,
2026-03-19 01:10:20,KXHIGHLAX-26MAR10-T72,"Will the **high temp in LA** be >72° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",greater_than,72.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:20,KXHIGHLAX-26MAR10-T65,"Will the **high temp in LA** be <65° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",less_than,,65.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:21,KXHIGHLAX-26MAR10-B71.5,"Will the **high temp in LA** be 71-72° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",between,71.0,72.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:22,KXHIGHLAX-26MAR10-B69.5,"Will the **high temp in LA** be 69-70° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",between,69.0,70.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:22,KXHIGHLAX-26MAR10-B67.5,"Will the **high temp in LA** be 67-68° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",between,67.0,68.0,,,,100.0,0.0,100.0,0.0,98.0,,,YES,
2026-03-19 01:10:23,KXHIGHLAX-26MAR10-B65.5,"Will the **high temp in LA** be 65-66° on Mar 10, 2026?",finalized,Los Angeles,"Mar 10, 2026",between,65.0,66.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:23,KXHIGHLAX-26MAR09-T74,"Will the **high temp in LA** be >74° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",greater_than,74.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:23,KXHIGHLAX-26MAR09-T67,"Will the **high temp in LA** be <67° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",less_than,,67.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:24,KXHIGHLAX-26MAR09-B73.5,"Will the **high temp in LA** be 73-74° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",between,73.0,74.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:24,KXHIGHLAX-26MAR09-B71.5,"Will the **high temp in LA** be 71-72° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",between,71.0,72.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:25,KXHIGHLAX-26MAR09-B69.5,"Will the **high temp in LA** be 69-70° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",between,69.0,70.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:25,KXHIGHLAX-26MAR09-B67.5,"Will the **high temp in LA** be 67-68° on Mar 9, 2026?",finalized,Los Angeles,"Mar 9, 2026",between,67.0,68.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:25,KXHIGHLAX-26MAR08-T91,"Will the **high temp in LA** be >91° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",greater_than,91.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:26,KXHIGHLAX-26MAR08-T84,"Will the **high temp in LA** be <84° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",less_than,,84.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:26,KXHIGHLAX-26MAR08-B90.5,"Will the **high temp in LA** be 90-91° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",between,90.0,91.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:27,KXHIGHLAX-26MAR08-B88.5,"Will the **high temp in LA** be 88-89° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",between,88.0,89.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:27,KXHIGHLAX-26MAR08-B86.5,"Will the **high temp in LA** be 86-87° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",between,86.0,87.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:27,KXHIGHLAX-26MAR08-B84.5,"Will the **high temp in LA** be 84-85° on Mar 8, 2026?",finalized,Los Angeles,"Mar 8, 2026",between,84.0,85.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:28,KXHIGHLAX-26MAR07-T85,"Will the **high temp in LA** be >85° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",greater_than,85.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:28,KXHIGHLAX-26MAR07-T78,"Will the **high temp in LA** be <78° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",less_than,,78.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:28,KXHIGHLAX-26MAR07-B84.5,"Will the **high temp in LA** be 84-85° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",between,84.0,85.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:29,KXHIGHLAX-26MAR07-B82.5,"Will the **high temp in LA** be 82-83° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",between,82.0,83.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:29,KXHIGHLAX-26MAR07-B80.5,"Will the **high temp in LA** be 80-81° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",between,80.0,81.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:30,KXHIGHLAX-26MAR07-B78.5,"Will the **high temp in LA** be 78-79° on Mar 7, 2026?",finalized,Los Angeles,"Mar 7, 2026",between,78.0,79.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
2026-03-19 01:10:33,KXHIGHLAX-26MAR06-T76,"Will the **high temp in LA** be >76° on Mar 6, 2026?",finalized,Los Angeles,"Mar 6, 2026",greater_than,76.0,,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:33,KXHIGHLAX-26MAR06-T69,"Will the **high temp in LA** be <69° on Mar 6, 2026?",finalized,Los Angeles,"Mar 6, 2026",less_than,,69.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:34,KXHIGHLAX-26MAR06-B75.5,"Will the **high temp in LA** be 75-76° on Mar 6, 2026?",finalized,Los Angeles,"Mar 6, 2026",between,75.0,76.0,,,,100.0,0.0,100.0,0.0,1.0,,,NO,
2026-03-19 01:10:34,KXHIGHLAX-26MAR06-B73.5,"Will the **high temp in LA** be 73-74° on Mar 6, 2026?",finalized,Los Angeles,"Mar 6, 2026",between,73.0,74.0,,,,100.0,0.0,100.0,0.0,99.0,,,YES,
