ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,source,ai_probability_yes,predicted_direction,resolved_outcome,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,result
KXHIGHLAX-26MAR13-B83.5,"Will the **high temp in LA** be 83-84° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,83.0,84.0,92.48,12.9,openmeteo_archive,2.43,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR13-B81.5,"Will the **high temp in LA** be 81-82° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,81.0,82.0,92.48,12.9,openmeteo_archive,2.15,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR12-T92,"Will the **high temp in LA** be >92° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",greater_than,92.0,,91.76,13.14,openmeteo_archive,49.27,,NO,100.0,0.0,100.0,0.0,1.0,NO_SIGNAL
KXHIGHLAX-26MAR12-T85,"Will the **high temp in LA** be <85° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",less_than,,85.0,91.76,13.14,openmeteo_archive,30.35,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR12-B91.5,"Will the **high temp in LA** be 91-92° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,91.0,92.0,91.76,13.14,openmeteo_archive,3.03,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR12-B89.5,"Will the **high temp in LA** be 89-90° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,89.0,90.0,91.76,13.14,openmeteo_archive,2.99,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR12-B87.5,"Will the **high temp in LA** be 87-88° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,87.0,88.0,91.76,13.14,openmeteo_archive,2.88,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR12-B85.5,"Will the **high temp in LA** be 85-86° on Mar 12, 2026?",finalized,Los Angeles,"Mar 12, 2026",between,85.0,86.0,91.76,13.14,openmeteo_archive,2.71,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR11-T77,"Will the **high temp in LA** be >77° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",greater_than,77.0,,77.72,8.58,openmeteo_archive,53.34,,NO,100.0,0.0,100.0,0.0,1.0,NO_SIGNAL
KXHIGHLAX-26MAR11-T70,"Will the **high temp in LA** be <70° on Mar 11, 2026?",finalized,Los Angeles,"Mar 11, 2026",less_than,,70.0,77.72,8.58,openmeteo_archive,18.41,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
