timestamp,city,temperature,humidity,pressure,wind_speed,clouds,visibility,rain,weather
2026-03-18 16:00:09,"Dallas,US",12.12,61,1022,2.68,21,10000,0,few clouds
2026-03-18 16:00:09,"Tokyo,JP",14.36,71,1010,5.14,75,10000,0,broken clouds
2026-03-18 16:00:10,"Toronto,CA",-3.14,61,1028,15.2,75,10000,0,broken clouds
2026-03-18 16:00:10,"Singapore,SG",27.96,78,1012,4.12,75,10000,0,broken clouds
2026-03-18 16:00:10,"London,GB",18.36,46,1021,3.13,0,10000,0,clear sky
2026-03-18 16:00:11,"Seoul,KR",3.76,65,1017,4.12,0,10000,0,clear sky
2026-03-18 16:00:11,"Paris,FR",16.29,32,1018,9.77,0,10000,0,clear sky
2026-03-18 17:00:07,"New York,US",-0.77,38,1030,5.14,0,10000,0,clear sky
2026-03-18 17:00:07,"Seattle,US",11.38,95,1016,4.47,100,10000,0.28,light rain
2026-03-18 17:00:07,"Chicago,US",-0.91,77,1019,3.58,100,10000,0,overcast clouds
2026-03-18 17:00:08,"Dallas,US",15.2,54,1022,4.02,19,10000,0,few clouds
2026-03-18 17:00:08,"Tokyo,JP",14.3,63,1009,5.66,75,10000,0,broken clouds
2026-03-18 17:00:08,"Toronto,CA",-2.12,57,1027,15.2,70,10000,0,broken clouds
2026-03-18 17:00:08,"Singapore,SG",27.74,83,1012,3.6,75,10000,0,broken clouds
2026-03-18 17:00:08,"London,GB",17.5,50,1022,6.17,0,10000,0,clear sky
2026-03-18 17:00:08,"Seoul,KR",4.46,37,1017,3.41,98,10000,0,overcast clouds
2026-03-18 17:00:09,"Paris,FR",16.25,33,1018,9.26,0,10000,0,clear sky
2026-03-18 18:00:08,"New York,US",0.35,37,1031,5.14,0,10000,0,clear sky
2026-03-18 18:00:08,"Seattle,US",11.8,94,1016,5.14,100,10000,0,overcast clouds
2026-03-18 18:00:08,"Chicago,US",1.25,74,1018,4.92,98,10000,0,overcast clouds
2026-03-18 18:00:08,"Dallas,US",17.35,49,1022,7.2,0,10000,0,clear sky
2026-03-18 18:00:08,"Tokyo,JP",13.77,69,1007,8.23,75,10000,0,broken clouds
2026-03-18 18:00:08,"Toronto,CA",-2.13,56,1027,15.2,75,10000,0,broken clouds
2026-03-18 18:00:09,"Singapore,SG",27.22,82,1012,4.63,75,10000,0,broken clouds
2026-03-18 18:00:09,"London,GB",15.79,54,1022,7.2,0,10000,0,clear sky
2026-03-18 18:00:09,"Seoul,KR",2.76,60,1018,1.03,0,10000,0,clear sky
2026-03-18 18:00:09,"Paris,FR",15.57,36,1018,9.26,0,10000,0,clear sky
2026-03-18 23:00:09,"New York,US",1.42,41,1029,5.36,0,10000,0,clear sky
2026-03-18 23:00:09,"Seattle,US",13.67,89,1017,5.36,100,10000,0,overcast clouds
2026-03-18 23:00:09,"Chicago,US",8.1,55,1016,4.12,75,10000,0,broken clouds
2026-03-18 23:00:09,"Dallas,US",23.57,37,1019,6.17,75,10000,0,broken clouds
2026-03-18 23:00:09,"Tokyo,JP",12.05,84,1004,6.53,100,10000,0,overcast clouds
2026-03-18 23:00:10,"Toronto,CA",-1.58,58,1023,15.2,0,10000,0,light snow
2026-03-18 23:00:10,"Singapore,SG",26.25,88,1010,3.09,75,10000,0,broken clouds
2026-03-18 23:00:10,"London,GB",8.73,69,1025,4.12,0,10000,0,clear sky
2026-03-18 23:00:10,"Seoul,KR",-1.24,69,1018,1.03,0,10000,0,clear sky
2026-03-18 23:00:10,"Paris,FR",11.53,54,1021,7.72,0,10000,0,clear sky
2026-03-19 00:00:08,"New York,US",0.49,48,1029,5.14,0,10000,0,clear sky
2026-03-19 00:00:08,"Seattle,US",13.46,89,1017,5.66,100,10000,0.6,light rain
2026-03-19 00:00:08,"Chicago,US",8.04,53,1017,3.6,20,10000,0,few clouds
2026-03-19 00:00:08,"Dallas,US",23.68,38,1018,3.58,51,10000,0,broken clouds
2026-03-19 00:00:09,"Tokyo,JP",12.2,79,1005,0.89,100,10000,0,overcast clouds
2026-03-19 00:00:09,"Toronto,CA",-1.74,60,1023,15.2,100,10000,0,light snow
2026-03-19 00:00:09,"Singapore,SG",26.25,89,1011,3.09,75,10000,0,broken clouds
2026-03-19 00:00:09,"London,GB",8.17,72,1025,3.6,0,10000,0,clear sky
2026-03-19 00:00:09,"Seoul,KR",-1.24,74,1019,2.06,0,10000,0,clear sky
2026-03-19 00:00:09,"Paris,FR",10.55,58,1021,7.2,0,10000,0,clear sky
2026-03-19 01:00:06,"New York,US",-0.06,53,1030,4.12,0,10000,0,clear sky
2026-03-19 01:00:07,"Seattle,US",13.2,90,1017,5.36,100,10000,0,overcast clouds
2026-03-19 01:00:07,"Chicago,US",4.84,71,1017,2.19,24,10000,0,few clouds
2026-03-19 01:00:07,"Dallas,US",22.41,40,1018,2.24,45,10000,0,scattered clouds
2026-03-19 01:00:07,"Tokyo,JP",12.77,75,1005,5.66,75,10000,0.22,light intensity shower rain
2026-03-19 01:00:07,"Toronto,CA",-1.74,60,1024,15.2,100,10000,0,light snow
2026-03-19 01:00:07,"Singapore,SG",26.25,88,1011,3.6,75,10000,0,broken clouds
2026-03-19 01:00:07,"London,GB",7.59,75,1025,3.6,0,10000,0,clear sky
2026-03-19 01:00:07,"Seoul,KR",2.76,60,1020,2.57,0,10000,0,clear sky
2026-03-19 01:00:08,"Paris,FR",10.18,60,1022,6.17,0,10000,0,clear sky
2026-03-19 15:00:05,"New York,US",2.25,59,1027,5.81,100,10000,0,overcast clouds
2026-03-19 15:00:05,"Seattle,US",10.29,95,1018,2.68,100,3219,0,mist
2026-03-19 15:00:05,"Chicago,US",6.13,76,1019,1.79,88,10000,0,overcast clouds
